sig,route,type,frames,frame_share_pct,dominant_reason,period_bucket,min_gap_s,median_gap_s,max_gap_s,lengths_seen,vary_idx,first_start_us,last_start_us,first_data,last_data
AA 1F 15 B5 24 06 02 00,1F->15,B5,46047,39.210,sync_boundary,~1s,0.227,1.138,16.695,"13,15,17,22,23,24,25,26","8,10,12,13,14,15,16,17,18,19,20,21,22,23,24,25,len",603475602,72225657468,AA 1F 15 B5 24 06 02 00 03 00 1B 00 E4 00 06 01 03 1B 00 04 00 88 00,AA 1F 15 B5 24 06 02 00 03 00 22 00 30 00 00 00 00
AA 10 76 B5 11 01 01 16,10->76,B5,7160,6.097,sync_boundary,~10s,1.298,9.998,26.642,"8,21,22","8,9,10,11,12,13,14,15,16,17,18,19,20,21,len",609875986,72228151968,AA 10 76 B5 11 01 01 16 00 09 FF 3D 40 09 FF 2B 00 01 FF 10 00,AA 10 76 B5 11 01 01 16 00 09 FF 39 70 0C FF 42 00 01 FF D2 00
AA 10 08 B5 11 01 01 89,10->08,B5,7158,6.095,sync_boundary,~10s,2.882,9.998,22.972,"9,21,22","9,10,11,12,13,14,15,16,17,18,19,20,21,len",609608208,72227882264,AA 10 08 B5 11 01 01 89 00 09 45 3D 40 09 FF 2B 00 00 45 72 00,AA 10 08 B5 11 01 01 89 00 09 39 39 70 0C FF 42 00 00 3A 1A 00
AA 10 76 B5 10 09 00 00,10->76,B5,6894,5.870,sync_boundary,~10s,1.334,9.997,2669.123,"16,17,21","8,12,15,16,17,18,19,20,len",610755135,72229019029,AA 10 76 B5 10 09 00 00 00 FF FF FF 05 00 00 DD 00 01 01 9A 00,AA 10 76 B5 10 09 00 00 00 FF FF FF 05 00 00 DD 00 01 01 9A 00
AA 10 08 B5 10 09 00 00,10->08,B5,6077,5.175,sync_boundary,~10s,1.459,9.997,7209.072,"17,21","8,12,15,17,18,19,20,len",610481395,72228745235,AA 10 08 B5 10 09 00 00 00 FF FF FF 07 00 00 52 00 01 01 9A 00,AA 10 08 B5 10 09 00 00 3D FF FF FF 06 00 00 26 00 01 01 9A 00
AA 1F 08 B5 1A 04 05 FF,1F->08,B5,5529,4.708,sync_boundary,~2s,0.646,2.047,64.691,"24,25","9,10,16,23,24,len",610014364,72179688070,AA 1F 08 B5 1A 04 05 FF 32 24 BD 00 0A FF 08 35 00 00 00 00 00 00 00 5B 00,AA 1F 08 B5 1A 04 05 FF 32 23 BA 00 0A FF 08 35 00 00 00 00 00 00 00 5B 00
AA 10 76 B5 12 03 0F 02,10->76,B5,5000,4.258,sync_boundary,~10s,1.391,9.998,12608.267,"10,11,21,22","8,9,10,11,12,13,14,15,16,17,18,19,20,21,len",610212630,72228476476,AA 10 76 B5 12 03 0F 02 01 51 00 07 59 01 00 00 80 17 03 A7 00,AA 10 76 B5 12 03 0F 02 01 51 00 07 14 02 00 00 80 16 03 50 00
AA 1F 08 B5 11 01 01 40,1F->08,B5,2806,2.389,sync_boundary,~24s,1.199,24.263,52.269,"20,21,22","10,11,12,13,15,16,18,19,20,21,len",627096497,72226758389,AA 1F 08 B5 11 01 01 40 00 09 45 3D 40 09 FF 2B 00 00 45 72 00,AA 1F 08 B5 11 01 01 40 00 09 39 39 70 0C FF 42 00 00 3A 1A 00
AA 1F 08 B5 11 01 00 41,1F->08,B5,2752,2.343,sync_boundary,~24s,0.629,24.259,65.774,"9,20,21,22","9,10,11,12,13,14,15,16,17,18,19,20,21,len",625973633,72194673628,AA 1F 08 B5 11 01 00 41 00 09 28 02 17 00 00 00 00 01 00 DD 00,AA 1F 08 B5 11 01 00 41 00 09 D0 01 17 00 00 08 00 01 00 50 00
AA 1F 08 B5 03 02 00 01,1F->08,B5,2746,2.338,sync_boundary,~24s,20.428,24.258,65.786,"10,19,23","10,11,12,13,14,15,16,17,18,19,20,21,22,len",624843771,72193531110,AA 1F 08 B5 03 02 00 01 6E 00 0A 60 04 FF FF FF FF FF FF FF FF 5B 00,AA 1F 08 B5 03 02 00 01 6E 00 0A 60 04 FF FF FF FF FF FF FF FF 5B 00
