sig,route,type,frames,frame_share_pct,dominant_reason,period_bucket,min_gap_s,median_gap_s,max_gap_s,lengths_seen,vary_idx,first_start_us,last_start_us,first_data,last_data
AA 1F 15 B5 24 06 02,1F->15,B5,61570,39.199,sync_boundary,~1s,0.227,1.138,24.744,"13,17,21,22,23,24,25,26","8,10,12,13,14,15,16,17,18,19,20,21,22,23,24,25,len",72437801955,168270945605,AA 1F 15 B5 24 06 02 00 00 00 9D 00 61 00 08 00 00 9D 00 FF FF FF 7F 54 00,AA 1F 15 B5 24 06 02 00 00 00 48 00 CA 00 06 01 00 48 00 01 00 C5 00
AA 10 76 B5 10 09 00,10->76,B5,9585,6.102,sync_boundary,~10s,1.324,9.997,20.526,"16,21","12,15,16,17,18,19,20,len",72439058539,168266576715,AA 10 76 B5 10 09 00 00 00 FF FF FF 05 00 00 DD 00 01 01 9A 00,AA 10 76 B5 10 09 00 00 00 FF FF FF 05 00 00 DD 00 01 01 9A 00
AA 10 08 B5 10 09 00,10->08,B5,9584,6.102,sync_boundary,~10s,1.333,9.998,20.576,"16,17,21","7,8,10,12,14,15,16,17,18,19,20,len",72438719176,168266245209,AA 10 08 B5 10 09 00 00 3D FF FF FF 06 00 00 26 00 01 01 9A 00,AA 10 08 B5 10 09 00 00 41 FF FF FF 06 00 00 41 00 01 01 9A 00
AA 10 76 B5 11 01 01,10->76,B5,9583,6.101,sync_boundary,~10s,1.408,9.998,20.573,"9,21,22","9,10,11,12,13,14,15,16,17,18,19,20,21,len",72438180193,168265707662,AA 10 76 B5 11 01 01 16 00 09 FF 36 70 0C FF 42 00 01 FF 81 00,AA 10 76 B5 11 01 01 16 00 09 FF 3E 80 0A FF 3D 00 01 FF 33 00
AA 10 76 B5 12 03 0F,10->76,B5,9583,6.101,sync_boundary,~10s,1.406,9.998,20.576,"11,21,22","7,8,9,11,12,13,14,15,16,17,18,19,20,21,len",72438447370,168265974436,AA 10 76 B5 12 03 0F 02 01 51 00 07 14 02 00 00 80 16 03 50 00,AA 10 76 B5 12 03 0F 02 01 51 00 07 EB 01 00 00 80 16 03 74 00
AA 10 08 B5 11 01 01,10->08,B5,9579,6.098,sync_boundary,~10s,1.281,9.998,20.006,"8,9,21,22","8,9,10,11,12,13,14,15,16,17,18,19,20,21,len",72437911200,168265440876,AA 10 08 B5 11 01 01 89 00 09 37 36 70 0C FF 42 00 00 39 1B 00,AA 10 08 B5 11 01 01 89 00 09 3E 3E 80 0A FF 3D 00 00 3E 1A 00
AA 1F 08 B5 1A 04 05,1F->08,B5,7407,4.716,sync_boundary,~2s,0.646,2.610,66.657,"12,24,25","9,10,12,13,14,15,16,17,18,19,20,21,22,23,24,len",72435522240,168249212239,AA 1F 08 B5 1A 04 05 FF 32 24 BD 00 0A FF 08 35 00 00 00 00 00 00 00 5B 00,AA 1F 08 B5 1A 04 05 FF 32 23 BA 00 0A FF 08 35 00 00 00 00 00 00 00 5B 00
AA 1F 15 B5 24 05 03,1F->15,B5,4343,2.765,sync_boundary,~1s,0.636,0.744,325.805,"22,23","7,9,10,11,15,16,17,18,21,22,len",72556491500,168272460649,AA 1F 15 B5 24 05 03 01 00 01 00 32 00 07 01 00 21 8D 90 00 00 0A 00,AA 1F 15 B5 24 05 03 01 00 01 00 32 00 07 01 00 21 8D 90 00 00 0A 00
AA 1F 08 B5 11 01 01,1F->08,B5,3757,2.392,sync_boundary,~24s,1.199,24.262,75.740,"9,20,21,22","9,10,11,12,13,14,15,16,17,18,19,20,21,len",72452612296,168265174112,AA 1F 08 B5 11 01 01 40 00 09 37 36 70 0C FF 42 00 00 39 1B 00,AA 1F 08 B5 11 01 01 40 00 09 3E 3E 80 0A FF 3D 00 00 3E 1A 00
AA 1F 08 B5 03 02 00,1F->08,B5,3686,2.347,sync_boundary,~24s,0.637,24.258,87.093,"10,22,23","10,11,12,13,14,15,16,17,18,19,20,21,22,len",72450356944,168262919451,AA 1F 08 B5 03 02 00 01 6E 00 0A 60 04 FF FF FF FF FF FF FF FF 5B 00,AA 1F 08 B5 03 02 00 01 6E 00 0A 60 04 FF FF FF FF FF FF FF FF 5B 00
AA 1F 08 B5 11 01 00,1F->08,B5,3683,2.345,sync_boundary,~24s,0.629,24.258,87.089,"18,20,21,22","10,11,12,13,14,15,16,17,18,19,20,21,len",72451487077,168264051256,AA 1F 08 B5 11 01 00 41 00 09 B9 01 16 00 00 08 00 01 00 6E 00,AA 1F 08 B5 11 01 00 41 00 09 F5 01 17 00 00 08 00 01 00 B0 00
AA 10 08 B5 04 01 00,10->08,B5,1597,1.017,sync_boundary,~60s,54.452,59.994,65.526,22,"18,19,20",72488132634,168235713246,AA 10 08 B5 04 01 00 3D 00 0A 00 FF FF FF FF FF FF FF A0 0C D8 00,AA 10 08 B5 04 01 00 3D 00 0A 00 FF FF FF FF FF FF FF 80 0A BA 00
AA 10 08 B5 07 02 09,10->08,B5,1597,1.017,sync_boundary,~60s,51.356,59.992,68.612,"10,15,16","7,8,10,11,12,13,14,15,len",72490071506,168237650289,AA 10 08 B5 07 02 09 3C 73 00 02 AC 02 99 00,AA 10 08 B5 07 02 09 3F 70 00 02 93 02 21 00
AA 10 FE B5 05 02 5C,10->FE,B5,1597,1.017,sync_boundary,~60s,51.422,59.993,68.546,9,-,72489859471,168237379504,AA 10 FE B5 05 02 5C 00 E8,AA 10 FE B5 05 02 5C 00 E8
AA 10 08 B5 11 01 00,10->08,B5,1596,1.016,sync_boundary,~60s,51.358,59.991,120.033,"21,22","10,11,12,13,14,15,16,17,18,19,20,21,len",72490316764,168237895729,AA 10 08 B5 11 01 00 88 00 09 BD 01 16 00 00 08 00 01 00 B7 00,AA 10 08 B5 11 01 00 88 00 09 F7 01 17 00 00 08 00 01 00 11 00
AA 10 FE B5 16 08 00,10->FE,B5,1596,1.016,sync_boundary,~60s,54.036,59.995,120.447,"15,16","7,8,9,10,12,14,15,len",72488404426,168235986899,AA 10 FE B5 16 08 00 25 00 19 22 03 07 26 98,AA 10 FE B5 16 08 00 12 36 21 23 03 01 26 33
AA 10 08 B5 10 03 05,10->08,B5,1595,1.015,sync_boundary,~60s,51.358,59.991,120.007,"11,14","11,12,13,len",72490584938,168238163507,AA 10 08 B5 10 03 05 FF 03 9A 00 00 00 00,AA 10 08 B5 10 03 05 FF 03 9A 00 00 00 00
AA 10 08 B5 12 02 00,10->08,B5,1595,1.015,sync_boundary,~60s,51.359,59.993,120.011,13,"7,8",72490898244,168238410368,AA 10 08 B5 12 02 00 64 AE 00 00 00 00,AA 10 08 B5 12 02 00 64 AE 00 00 00 00
AA 10 08 B5 12 02 04,10->08,B5,1595,1.015,sync_boundary,~60s,51.416,59.992,120.013,14,"7,8",72491133397,168238648274,AA 10 08 B5 12 02 04 64 6F 00 01 01 9A 00,AA 10 08 B5 12 02 04 64 6F 00 01 01 9A 00
AA 10 76 B5 13 03 04,10->76,B5,1595,1.015,sync_boundary,~60s,51.351,59.992,120.080,16,-,72491372325,168238945909,AA 10 76 B5 13 03 04 0D 00 BB 00 02 FF FF A8 00,AA 10 76 B5 13 03 04 0D 00 BB 00 02 FF FF A8 00
AA 10 FE B5 16 03 01,10->FE,B5,1595,1.015,sync_boundary,~60s,51.351,59.992,120.058,10,"7,8,9",72491623551,168239193787,AA 10 FE B5 16 03 01 70 0C 4E,AA 10 FE B5 16 03 01 C0 0A 15
AA 10 E0 07 04 00 6A,10->E0,07,924,0.588,idle_timeout,~1s,1.225,1.374,304.887,7,-,72666397120,168141419860,AA 10 E0 07 04 00 6A,AA 10 E0 07 04 00 6A
AA 03 E0 07 04 00 89,03->E0,07,921,0.586,idle_timeout,~1s,0.798,1.380,302.601,7,-,72666925636,168141948511,AA 03 E0 07 04 00 89,AA 03 E0 07 04 00 89
AA 10 E1 07 04 00 34,10->E1,07,913,0.581,idle_timeout,~1s,0.742,1.293,604.316,7,-,72672666981,168145259855,AA 10 E1 07 04 00 34,AA 10 E1 07 04 00 34
AA 03 E1 07 04 00 D7,03->E1,07,795,0.506,idle_timeout,~1s,0.766,1.375,606.967,7,-,72670470369,168144505182,AA 03 E1 07 04 00 D7,AA 03 E1 07 04 00 D7
AA 1F,--,,385,0.245,idle_timeout,>60s,1.373,202.301,1063.456,2,-,72550355623,167835814535,AA 1F,AA 1F
AA 10 0A 07 04 00 AB,10->0A,07,318,0.202,idle_timeout,~1s,0.246,0.305,906.151,7,-,73099963849,167588228219,AA 10 0A 07 04 00 AB,AA 10 0A 07 04 00 AB
AA 10 18 07 04 00 AD,10->18,07,318,0.202,idle_timeout,~1s,0.246,0.295,900.504,7,-,73087787719,167576004690,AA 10 18 07 04 00 AD,AA 10 18 07 04 00 AD
AA 10 26 07 04 00 FA,10->26,07,318,0.202,idle_timeout,~1s,0.243,0.247,907.495,7,-,73096782305,167585004960,AA 10 26 07 04 00 FA,AA 10 26 07 04 00 FA
AA 10 35 07 04 00 A2,10->35,07,318,0.202,idle_timeout,~1s,0.237,0.248,907.011,7,-,73093754656,167582093791,AA 10 35 07 04 00 A2,AA 10 35 07 04 00 A2
AA 10 38 07 04 00 42,10->38,07,318,0.202,idle_timeout,~1s,0.239,0.298,907.364,7,-,73092568374,167581296044,AA 10 38 07 04 00 42,AA 10 38 07 04 00 42
AA 10 50 07 04 00 B5,10->50,07,318,0.202,idle_timeout,~1s,0.246,0.248,906.389,7,-,73100771525,167589011560,AA 10 50 07 04 00 B5,AA 10 50 07 04 00 B5
AA 10 52 07 04 00 09,10->52,07,318,0.202,idle_timeout,~1s,0.246,0.247,907.675,7,-,73095760609,167584026447,AA 10 52 07 04 00 09,AA 10 52 07 04 00 09
AA 10 75 07 04 00 E7,10->75,07,318,0.202,idle_timeout,~1s,0.240,0.247,907.923,7,-,73094779576,167583005144,AA 10 75 07 04 00 E7,AA 10 75 07 04 00 E7
AA 10 A0 07 04 00 2F,10->A0,07,318,0.202,idle_timeout,~1s,0.242,0.247,907.445,7,-,73102772119,167591011418,AA 10 A0 07 04 00 2F,AA 10 A0 07 04 00 2F
AA 10 EC 07 04 00 D4,10->EC,07,318,0.202,idle_timeout,~1s,0.241,0.247,907.644,7,-,73101750482,167590032858,AA 10 EC 07 04 00 D4,AA 10 EC 07 04 00 D4
AA 10 ED 07 04 00 8A,10->ED,07,318,0.202,idle_timeout,~1s,0.243,0.248,907.386,7,-,73097804997,167586025275,AA 10 ED 07 04 00 8A,AA 10 ED 07 04 00 8A
AA 1F 08 B5 16 08 10,1F->08,B5,309,0.197,sync_boundary,~1s,1.142,1.162,1246.504,"29,30","10,11,14,19,20,21,22,24,25,26,27,28,29,len",73455020964,167596026584,AA 1F 08 B5 16 08 10 00 00 FF 83 04 00 00 AF 00 0B 00 00 02 83 04 76 34 00 6A 95 4B 3C 00,AA 1F 08 B5 16 08 10 00 00 FF 42 03 00 00 5C 00 0B 00 00 01 42 03 77 34 EF 57 95 4C 71 00
AA 00,--,,291,0.185,idle_timeout,>60s,1.091,304.050,912.158,2,-,72666349032,168138801994,AA 00,AA 00
AA 10 08 B5 13 02 05,10->08,B5,160,0.102,sync_boundary,>60s,591.384,599.912,608.545,14,-,72791800836,168179424248,AA 10 08 B5 13 02 05 28 E6 00 01 01 9A 00,AA 10 08 B5 13 02 05 28 E6 00 01 01 9A 00
AA 1F 76 B5 16 08 10,1F->76,B5,155,0.099,sync_boundary,~1s,1.093,1.386,1247.743,"18,19","11,14,18,len",73463052334,167601714006,AA 1F 76 B5 16 08 10 00 00 FF 83 04 00 00 5C 00 00 00 00,AA 1F 76 B5 16 08 10 00 00 FF 83 03 00 00 3E 00 00 00 00
AA 1F 08 B5 16 02 18,1F->08,B5,154,0.098,sync_boundary,~1s,1.071,1.389,1249.001,"10,13","7,8,10,11,12,len",73452822033,167591429515,AA 1F 08 B5 16 02 18 02 41 00 00 00 00,AA 1F 08 B5 16 02 18 01 42 00 00 00 00
AA 10 08 B5 16 08 10,10->08,B5,56,0.036,sync_boundary,~1s,0.566,1.010,4.965,"30,31","7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,len",90468550660,90532578735,AA 10 08 B5 16 08 10 02 FF FF 03 00 21 34 53 00 0B 02 04 FF 03 00 21 34 E8 D5 93 49 F0 00,AA 10 08 B5 16 08 10 00 FF FF 02 00 21 34 6C 00 0B 00 00 FF 02 00 76 34 79 26 D8 4C 73 00
00 00 00,--,,42,0.027,sync_boundary,>60s,59.962,1799.778,9598.798,3,-,73210559438,166198470238,00 00 00,00 00 00
AA 10 08 B5 07 01 0A,10->08,B5,27,0.017,sync_boundary,>60s,3599.009,3599.519,3600.074,15,-,73992699794,167580509615,AA 10 08 B5 07 01 0A 0D 00 03 82 82 02 45 00,AA 10 08 B5 07 01 0A 0D 00 03 82 82 02 45 00
AA 1F 15 B5 24 07 02,1F->15,B5,24,0.015,sync_boundary,>60s,6.975,1499.596,20299.328,20,"12,13",83705886271,154531264115,AA 1F 15 B5 24 07 02 01 03 00 0E 00 03 E3 00 02 00 03 2F 00,AA 1F 15 B5 24 07 02 01 03 00 0E 00 00 E0 00 02 00 03 2F 00
AA 1F 15 B5 24 08 02,1F->15,B5,24,0.015,sync_boundary,>60s,4.360,1620.685,20298.666,21,-,74864738637,154531479122,AA 1F 15 B5 24 08 02 01 03 00 06 00 01 00 AD 00 02 00 03 2F 00,AA 1F 15 B5 24 08 02 01 03 00 06 00 01 00 AD 00 02 00 03 2F 00
AA 1F 15 B5 24 0A 02,1F->15,B5,21,0.013,sync_boundary,>60s,0.228,2416.946,20306.489,23,"10,14,15,16",74883647360,153990773887,AA 1F 15 B5 24 0A 02 01 03 00 07 00 00 00 B0 41 4F 00 02 00 03 2F 00,AA 1F 15 B5 24 0A 02 01 03 00 08 00 00 00 A0 41 B4 00 02 00 03 2F 00
